Business Name,Address,Stars,Number of Reviews,Phone Number,Website,Email
Balıkçı Asiye,"Ömerağa Mah. Şehabettin Bilgisu Cad, Latif Bey Sk. No:18","4,8",607,N/A,N/A, 
Antikkapi Restaurant,1. Cd. No:5,"4,1",485,N/A,N/A, 
Kare Restaurant,Adnan Menderes Blv. No:8/1,"4,3",278,N/A,N/A, 
Livadi Cafe & Restaurant,Cephanelik Mesire Alanı Tesisleri içinde,"4,1",1.084,N/A,N/A, 
Maşşa Ocakbaşı,M.Ali Pasa Mah. Erkan Sok. No:3 (Teona Otel Altı),"4,3",326,N/A,N/A, 
Şelale Manzara Cafe Restaurant,Kevser Sk. no:5,"4,3",265,N/A,N/A, 
Çınar Lokantası,Şahabettin Bilgisu Cd. No:38,"4,3",393,N/A,N/A, 
KUZİNE RESTAURANT,Prof. Baki Komşuoğlu Blv. No:191/A,"4,0",821,N/A,N/A, 
Yeşildağlar Et,D-130 KARAYOLU CADDESİ NO:183,"4,4",1.943,N/A,N/A, 
Sopung Kocaeli,Şahabettin Bilgisu Cd. No:97,"4,5",515,N/A,N/A, 
Mavi Körfez Tarihi Eminönü Balıkçısı,"Kemalpaşa Mahallesi Oramiral Salim Dervişoğlu Caddesi, İzmit Marina","4,2",743,N/A,N/A, 
Özler Restoran,Atatürk Blv. No:10,"4,8",10,N/A,N/A, 
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149","4,3",3.472,N/A,N/A, 
Köfteci Yusuf,D100 No:18,"4,1",19.403,N/A,N/A, 
Basol Et Kasap Steak house,Ömer Türkçakal Blv. No:99,"4,3",1.258,N/A,N/A, 
ÇADIR KANDIRA SOFRASI,Kandıra Yolu Üzeri 3. Km Çayırköy Mevkii,"4,0",1.128,N/A,N/A, 
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Alabalık Sk. No:22","4,0",2.976,N/A,N/A, 
Tarif Cağ Kebap,Adnan Menderes Blv. No:3,"4,5",3.116,N/A,N/A, 
KÖZZ Ocakbaşı İzmit,"Sabancı Kültür Merkezi Yanı, Oramiral Salim Dervişoğlu Cd. No:6","4,1",771,N/A,N/A, 
Marifet Restaurant,Körfez Mahallesi Birlik iş hanı Denizbank yanı,"4,5",4,N/A,N/A, 
Fi 712 Restaurant,Şht. Ergün Köncü Sk. N:21,"4,4",1.168,N/A,N/A, 
Şahane Restaurant,Gazi Mustafa Kemal Blv. NO:157,"3,8",885,N/A,N/A, 
GAR DUHA Restaurant,Seymen Cd. No:24,"4,2",213,N/A,N/A, 
Lotus Meat,Dönmez Sk.,"4,2",321,N/A,N/A, 
KÖZZ Ocakbaşı İzmit,"Sabancı Kültür Merkezi Yanı, Oramiral Salim Dervişoğlu Cd. No:6","4,1",771,N/A,N/A, 
Antepkale Kebap,Demokrasi Cd. No:66,"4,4",324,N/A,N/A, 
Kebapçı Mehmet Usta,Denizciler Cd. No:17 D:2a,"4,3",4.110,N/A,N/A, 
Beyaz Yalı,Oramiral Salim Dervişoğlu Cd. No:62,"4,0",1.392,N/A,N/A, 
Romano Cafe Restaurant,Sahil Sk. No:15,"4,2",661,N/A,N/A, 
RUF Restoran & Bar,"Sahil, Cevher Dudayev Cd. No: 53","4,4",132,N/A,N/A, 
Yeşildağlar Et Yahya Kaptan,Şht. Ergün Köncü Sk. no:69 D:1,"4,3",429,N/A,N/A, 
Geçit restaurant,Şahabettin bilgisi cad .ömerağa mah.no 75 kat 2izmit merkez Kocaeli TR,"4,4",70,N/A,N/A, 
Pehlivan Restaurant,Restoran,"4,3",247,N/A,N/A, 
Marifet Restaurant,Körfez Mahallesi Birlik iş hanı Denizbank yanı,"4,5",4,N/A,N/A, 
Maide Kafe & Restoran & Düğün Salonu,"Sekapark 2.Etap, Güneş Cd.","4,0",4.424,N/A,N/A, 
Locale İzmit,"Karabaş Mahallesi, Leyla Atakan Caddesi, Belde Sk. No:2/A","4,6",62,N/A,N/A, 
Maestro İzmit Canlı Müzik & Cafe & Restoran,Oramiral Salim Dervişoğlu Cd. 68/1,"3,8",295,N/A,N/A, 
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit",Kara Yolu Cd. No:21/B,"4,0",1.179,N/A,N/A, 
Maçka İşkembe,Demokrasi Cd. No:74,"4,0",2.750,N/A,N/A, 
Çınaraltı Künefe & Kahvaltı,Demokrasi Cd. No:76,"4,3",2.057,N/A,N/A, 
Doyuyo! İzmit Symbol AVM,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı","3,9",16,N/A,N/A, 
Mert Abinin Yeri ( Hamburger & Taco ),Horasan Cd. no:9,"4,3",678,N/A,N/A, 
BALIKÇI ERHAN,Adnan Menderes Blv. No:10/A,"4,6",65,N/A,N/A, 
Köseoğlu Pide,"Yeni Yahya Kaptan Yolu, Demokrasi Bulvarı No:29","4,0",1.214,N/A,N/A, 
Keyfi İkram Yenicuma,Pertev Paşa Cd. No:1,"4,0",898,N/A,N/A, 
Hoşgör Pastanesi,,"3,7",295,N/A,N/A, 
INIIS,"Yahyakaptan, Yahyakaptan mah.sarı mimoza Cad.ayçiceği Sokak, Ilgın Sk. no:11","4,0",183,N/A,N/A, 
Sülo Babanın Yeri,"6, Hafız Binbaşı Cd.","4,3",51,N/A,N/A, 
Çınar Lokantası Çarşı yapı,Sanayi mah. Çarşı yapı sitesi H-5 İzmit Kocaeli,"4,4",878,N/A,N/A, 
Olta Balık,Salim Dervişoğlu Cd (Oramiral Salim Dervişoğlu Cd.),"4,0",198,N/A,N/A, 
Serpmeköy Trabzon Köy Kahvaltısı,Demokrasi Cd. 68/A,"4,1",681,N/A,N/A, 
Kavuret Kebap Ciğer Salonu,Yenişehir Mahallesi Gazi Mustafa Kemal Bulvarı No:122 D:1d,"4,4",1.601,N/A,N/A, 
Sarmaşık Restaurant,Gelibolu Sk No: 10/A,"4,6",14,N/A,N/A, 
Izmit Yelken Kulubu,Oramiral Salim Dervişoğlu Cd. No:1,"3,9",523,N/A,N/A, 
Mahmut Usta Künefe ve Baklava Salonları,Hürriyet Cd. No:21,"4,2",173,N/A,N/A, 
Heef,"Körfez Mah. Sanayi Cad, Berk Sk.","3,9",138,N/A,N/A, 
Cafe Bella Luna,Banu Sk.,"4,8",25,N/A,N/A, 
MehmET kebap ciğer,Dönmez Sk. No:40,"4,5",1.976,N/A,N/A, 
Hoşgör Pastaneleri,İnönü Cd. No:148,"4,2",3.062,N/A,N/A, 
Kokoreç Office,Cumhuriyet Cd. No:63/B,"4,4",619,N/A,N/A, 
The Most Bistro,Hafız Binbaşı Cd. No:12,"4,5",88,N/A,N/A, 
Doyuyo! İzmit Symbol AVM,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı","3,9",16,N/A,N/A, 
Çınaraltı Künefe & Kahvaltı,Demokrasi Cd. No:76,"4,3",2.057,N/A,N/A, 
Salash Burger,Democracy Boulevard No:86,"4,2",1.416,N/A,N/A, 
Best Simit Cafe,Cengiz Topel Cd. No:36,"4,0",163,N/A,N/A, 
Another Cafe Restaurant,"Kerpe Sahil Yolu, Kandıra Merkez, Kandıra, Kocaeli (İzmit)","4,4",18,N/A,N/A, 
Ciğerci Bahattin,Gazi Mustafa Kemal Blv. No:135 D:A,"4,1",2.349,N/A,N/A, 
Diva,"Körfez mahallesi liman caddesi, Hacı Ramazan Sk.","3,9",1.473,N/A,N/A, 
The House Cafe İzmit,Konak Sk. No: 19,"4,0",316,N/A,N/A, 
Kâfi restoran-meyhane,Sami Sk. no:9,"4,2",125,N/A,N/A, 
Fiskkos Cafe Restaurant,Hafız Binbaşı Cd. No:7,"4,1",548,N/A,N/A, 
Kışla Ciğer Kebap,,"4,6",570,N/A,N/A, 
Deniz Yıldızı Balık Restaurant,Abdurrahman Yüksel Cd. 9/3 D:172,"4,2",275,N/A,N/A, 
